datetime,open,high,low,close,volume
2023-07-14 19:05:00,1898.88,1905.03,1904.69,1903.7,534.21077346
2023-07-15 05:05:00,1932.92,1933.56,1932.92,1933.56,8.60480243
2023-07-15 05:04:00,1932.5,1933.01,1933.01,1932.93,12.07350947
2023-07-15 05:03:00,1932.78,1933.01,1932.9,1933.01,11.80889174
2023-07-15 05:02:00,1932.58,1932.9,1932.66,1932.9,6.14530557
2023-07-15 05:01:00,1932.66,1933.05,1933.04,1932.66,6.19451508
2023-07-15 05:00:00,1932.66,1933.08,1932.71,1933.06,8.47415965
2023-07-15 04:59:00,1932.58,1932.72,1932.67,1932.72,1.76649761
2023-07-15 04:58:00,1932.55,1932.77,1932.67,1932.7,4.04228119
2023-07-15 04:57:00,1932.66,1933.12,1933.12,1932.67,4.31270532
2023-07-15 04:56:00,1932.97,1933.29,1933.29,1933.03,3.19529093
2023-07-15 04:55:00,1932.97,1933.34,1933.29,1933.29,11.32493878
2023-07-15 04:54:00,1933.23,1933.6,1933.45,1933.42,5.48486082
2023-07-15 04:53:00,1932.94,1933.51,1933.02,1933.49,11.49566033
2023-07-15 04:52:00,1932.95,1933.89,1933.54,1933.04,37.63712336
2023-07-15 04:51:00,1933.48,1933.84,1933.81,1933.48,7.45329406
2023-07-15 04:50:00,1933.32,1933.86,1933.32,1933.82,23.18532247
2023-07-15 04:49:00,1932.81,1933.32,1933.27,1933.31,9.29417728
2023-07-15 04:48:00,1933.16,1933.27,1933.21,1933.27,12.93939552
2023-07-15 04:47:00,1932.53,1933.26,1932.88,1933.14,14.74687151
2023-07-15 04:46:00,1932.73,1932.96,1932.78,1932.92,7.23730231
2023-07-15 04:45:00,1931.84,1932.6,1932.14,1932.6,17.57782451
2023-07-15 04:44:00,1931.99,1932.15,1932.02,1932.15,3.76538391
2023-07-15 04:43:00,1931.92,1932.15,1932.07,1932.02,4.71923593
2023-07-15 04:42:00,1932.03,1932.46,1932.05,1932.06,17.71362398
2023-07-15 04:41:00,1931.53,1932.05,1931.53,1932.04,23.37201539
2023-07-15 04:40:00,1931.39,1931.58,1931.43,1931.53,18.78553337
2023-07-15 04:39:00,1931.02,1932.16,1932.1,1931.42,60.33172616
2023-07-15 04:38:00,1931.93,1932.21,1932.07,1931.99,5.0011435
2023-07-15 04:37:00,1931.3,1932.37,1931.91,1932.16,105.11288162
2023-07-15 04:36:00,1931.89,1932.29,1932.22,1931.89,9.88489129
2023-07-15 04:35:00,1931.89,1932.9,1932.78,1932.22,48.73875566
2023-07-15 04:34:00,1932.69,1932.88,1932.77,1932.8,17.58680594
2023-07-15 04:33:00,1932.69,1933.38,1933.38,1932.76,43.44556859
2023-07-15 04:32:00,1933.37,1933.86,1933.86,1933.38,7.03265576
2023-07-15 04:31:00,1932.9,1933.83,1933.25,1933.82,52.81401666
2023-07-15 04:30:00,1933.09,1933.61,1933.57,1933.26,8.40977254
2023-07-15 04:29:00,1933.16,1933.54,1933.16,1933.46,7.036557
2023-07-15 04:28:00,1932.5,1933.21,1932.89,1933.09,27.71402308
2023-07-15 04:27:00,1932.46,1933.5,1933.18,1932.81,62.44776733
2023-07-15 04:26:00,1933.11,1933.49,1933.49,1933.18,32.77340558
2023-07-15 04:25:00,1933.32,1933.68,1933.32,1933.49,30.55005706
2023-07-15 04:24:00,1932.95,1933.36,1933.07,1933.32,6.06477486
2023-07-15 04:23:00,1933.07,1933.3,1933.24,1933.08,1.88702815
2023-07-15 04:22:00,1932.98,1933.42,1932.98,1933.24,12.22334588
2023-07-15 04:21:00,1932.86,1933.4,1933.05,1933.25,6.99992715
2023-07-15 04:20:00,1932.99,1933.23,1933.23,1933.03,7.63467589
2023-07-15 04:19:00,1932.92,1933.22,1932.96,1933.22,5.36904789
