datetime,open,high,low,close,volume
2023-10-13 09:19:00,61.41,61.45,61.44,61.41,446.54864174
2023-10-13 19:19:00,61.28,61.31,61.31,61.29,2.54178247
2023-10-13 19:18:00,61.34,61.36,61.35,61.34,19.74967787
2023-10-13 19:17:00,61.33,61.36,61.36,61.36,97.79688431
2023-10-13 19:16:00,61.35,61.37,61.35,61.37,10.10490694
2023-10-13 19:15:00,61.31,61.34,61.33,61.34,47.00871897
2023-10-13 19:14:00,61.33,61.37,61.33,61.36,16.92385001
2023-10-13 19:13:00,61.33,61.36,61.35,61.33,9.11730377
2023-10-13 19:12:00,61.32,61.37,61.32,61.35,56.67998937
2023-10-13 19:11:00,61.3,61.32,61.32,61.31,103.34606191
2023-10-13 19:10:00,61.29,61.34,61.3,61.33,312.4689676
2023-10-13 19:09:00,61.31,61.32,61.31,61.31,9.99479934
2023-10-13 19:08:00,61.29,61.32,61.29,61.31,117.61553883
2023-10-13 19:07:00,61.27,61.3,61.28,61.3,57.44303464
2023-10-13 19:06:00,61.26,61.31,61.3,61.28,44.38786227
2023-10-13 19:05:00,61.34,61.37,61.37,61.34,35.73595623
2023-10-13 19:04:00,61.33,61.37,61.33,61.37,9.64413937
2023-10-13 19:03:00,61.34,61.34,61.34,61.34,2.5908454
2023-10-13 19:02:00,61.32,61.34,61.32,61.34,13.83151003
2023-10-13 19:01:00,61.29,61.32,61.29,61.31,38.97561141
2023-10-13 19:00:00,61.28,61.3,61.3,61.28,12.99790579
2023-10-13 18:59:00,61.29,61.31,61.3,61.3,37.6270258
2023-10-13 18:58:00,61.29,61.31,61.31,61.29,38.22443935
2023-10-13 18:57:00,61.31,61.31,61.31,61.31,9.3175901
2023-10-13 18:56:00,61.31,61.32,61.31,61.31,90.37327723
2023-10-13 18:55:00,61.31,61.32,61.32,61.31,35.29739225
2023-10-13 18:54:00,61.32,61.32,61.32,61.32,6.73844759
2023-10-13 18:53:00,61.3,61.32,61.3,61.32,0.99170924
2023-10-13 18:52:00,61.29,61.32,61.29,61.31,37.69249834
2023-10-13 18:51:00,61.29,61.31,61.3,61.29,76.27706288
2023-10-13 18:50:00,61.26,61.3,61.26,61.3,50.03773918
2023-10-13 18:49:00,61.26,61.28,61.28,61.26,148.68994521
2023-10-13 18:48:00,61.28,61.3,61.28,61.28,48.44925753
2023-10-13 18:47:00,61.27,61.29,61.27,61.29,42.52495449
