,timestamp,open,high,low,close,volume
0,2025-03-20 00:26:00,2023.4,2023.4,2023.2,2023.4,10.3283
1,2025-03-20 00:27:00,2023.4,2024.6,2023.4,2023.6,6.1568
2,2025-03-20 00:28:00,2023.6,2024.0,2023.4,2023.4,4.2807
3,2025-03-20 00:29:00,2023.4,2023.6,2023.4,2023.5,12.3878
4,2025-03-20 00:30:00,2023.6,2023.9,2023.3,2023.3,22.1699
5,2025-03-20 00:31:00,2023.4,2024.6,2023.4,2024.2,17.0179
6,2025-03-20 00:32:00,2024.0,2024.0,2021.5,2021.5,100.5055
7,2025-03-20 00:33:00,2021.5,2021.9,2021.5,2021.9,23.7511
8,2025-03-20 00:34:00,2022.1,2022.3,2021.8,2021.8,3.7852
9,2025-03-20 00:35:00,2021.8,2021.8,2019.4,2019.4,9.5856
10,2025-03-20 00:36:00,2019.4,2020.3,2018.9,2020.3,82.9833
11,2025-03-20 00:37:00,2020.3,2020.3,2018.8,2018.9,81.0618
12,2025-03-20 00:38:00,2018.9,2018.9,2018.7,2018.7,311.9877
13,2025-03-20 00:39:00,2018.7,2019.8,2018.4,2019.8,155.7672
14,2025-03-20 00:40:00,2019.7,2021.6,2019.4,2021.1,40.6869
15,2025-03-20 00:41:00,2021.0,2021.0,2018.9,2019.1,40.5595
16,2025-03-20 00:42:00,2018.9,2018.9,2017.3,2017.9,162.3718
17,2025-03-20 00:43:00,2017.9,2019.1,2017.9,2018.9,124.8448
18,2025-03-20 00:44:00,2018.9,2019.3,2018.7,2019.3,5.8391
19,2025-03-20 00:45:00,2019.3,2020.0,2018.2,2018.2,87.9225
20,2025-03-20 00:46:00,2018.2,2018.9,2017.7,2018.9,245.2275
21,2025-03-20 00:47:00,2019.0,2019.2,2017.9,2018.3,1245.6574
22,2025-03-20 00:48:00,2018.3,2018.4,2017.3,2018.4,68.176
23,2025-03-20 00:49:00,2018.4,2020.3,2018.4,2020.0,761.3994
24,2025-03-20 00:50:00,2020.1,2021.1,2019.8,2019.9,79.694
25,2025-03-20 00:51:00,2019.9,2020.8,2019.6,2020.8,11.9214
26,2025-03-20 00:52:00,2020.8,2020.8,2019.9,2019.9,19.2765
27,2025-03-20 00:53:00,2020.0,2020.0,2019.2,2019.3,6.1097
28,2025-03-20 00:54:00,2019.4,2019.5,2019.2,2019.3,19.437
29,2025-03-20 00:55:00,2019.3,2020.1,2019.3,2020.1,43.0543
30,2025-03-20 00:56:00,2020.1,2020.4,2020.0,2020.4,19.9734
31,2025-03-20 00:57:00,2020.4,2021.3,2020.4,2020.7,6.6045
32,2025-03-20 00:58:00,2020.7,2020.8,2020.4,2020.5,33.2717
33,2025-03-20 00:59:00,2020.5,2020.5,2020.4,2020.5,1.6445
34,2025-03-20 01:00:00,2020.5,2020.5,2020.4,2020.5,15.8099
35,2025-03-20 01:01:00,2020.5,2020.5,2018.8,2019.8,16.9446
36,2025-03-20 01:02:00,2019.8,2020.0,2019.2,2019.2,7.5386
37,2025-03-20 01:03:00,2019.0,2019.7,2018.4,2019.7,18.1996
38,2025-03-20 01:04:00,2019.8,2020.0,2019.7,2019.7,1.8079
39,2025-03-20 01:05:00,2019.7,2019.7,2018.9,2019.0,8.4437
40,2025-03-20 01:06:00,2019.0,2019.0,2018.0,2018.1,7.1891
41,2025-03-20 01:07:00,2018.1,2018.4,2018.0,2018.3,11.5684
42,2025-03-20 01:08:00,2018.3,2019.4,2018.2,2019.4,13.2486
43,2025-03-20 01:09:00,2019.4,2019.4,2019.4,2019.4,41.2706
44,2025-03-20 01:10:00,2019.6,2019.7,2019.4,2019.5,19.8019
45,2025-03-20 01:11:00,2019.5,2019.5,2018.9,2019.0,12.3605
46,2025-03-20 01:12:00,2019.0,2020.0,2019.0,2019.8,5.9599
47,2025-03-20 01:13:00,2019.8,2021.5,2019.8,2021.3,2397.2689
48,2025-03-20 01:14:00,2021.3,2021.3,2020.5,2020.7,6.8157
