Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
2021-01-07 23:38:00,2021-01-10 13:37:00,2 days 13:59:00,52.4298219136734,8822.8266,10079.869499999997,2317.8875999999996,-11.771733999999997,13.72147101886144,-99.99891180524418,0.0006694930596926801,-99.99999794489439,-149365.12090378808,-1.1161318388648669,-6.762656960539112,-18.52053233957873,0.4918421888077365,-14.786926556936042,-3.1374814958079513,2 days 02:29:00,0 days 09:19:00,67.0,68.65671641791045,2.0013117841946704,-3.0250953623770394,0.18721804568615497,0 days 01:12:00,0 days 00:25:00,1.7873820703117829,0.19088738458546275
2020-04-02 05:43:00,2020-04-05 10:07:00,3 days 04:24:00,54.11877394636016,7418.5946400000175,10057.892320000003,2467.1653600000004,-25.814053599999827,4.0081620754991985,-99.9999998815382,6.871359949421038e-08,-99.99999999999987,-1455315987.1935384,-0.6952169994881199,-3.80746079669699,-27.69405632846299,0.46904358981766414,-26.26422311906381,-6.903674789787429,2 days 21:34:00,0 days 17:34:00,73.0,50.68493150684932,2.1123277993641665,-2.363872378219589,-0.012123007923237061,0 days 01:22:00,0 days 00:31:00,0.950985918035959,-0.010321363175550106
2020-12-05 14:30:00,2020-12-09 07:53:00,3 days 17:23:00,0.0,10000.0,10000.0,0.0,-6.513492267583219,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2024-05-20 04:06:00,2024-05-23 14:44:00,3 days 10:38:00,0.0,10000.0,10000.0,0.0,1.2775673876116131,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-06-15 06:59:00,2022-06-18 13:05:00,3 days 06:06:00,50.948766603415564,6480.057980000001,10348.462000000001,2564.412020000001,-35.199420199999985,-10.582219785947286,-99.99999999987594,2.112363883456875e-10,-99.99999999999974,-473403284268.5529,-0.43803765627426294,-2.605976974996999,-30.701970462306086,0.42500059804714246,-38.373324461161474,-5.267023181543057,2 days 23:19:00,0 days 09:03:00,84.0,50.0,2.962982232512168,-4.119472239774402,-0.16103117271905054,0 days 00:59:00,0 days 00:25:00,0.7056949506293428,-0.153540616105595
2023-04-15 23:52:00,2023-04-20 18:35:00,4 days 18:43:00,51.96900205598608,5980.889360000006,10000.0,3259.1760199999994,-40.191106399999946,-8.199924697000746,-99.99999999999737,2.0089403611645572e-12,-100.0,-49777485650210.46,-0.515724611441792,-2.4881126437464163,-34.993296032320465,0.6338851342843017,-40.191106399999946,-40.191106399999946,4 days 13:04:00,4 days 13:04:00,117.0,51.28205128205128,0.6514674494415562,-3.730357946054186,-0.08120676681671046,0 days 01:20:00,0 days 00:28:00,0.5122690198071105,-0.07994630323313087
2022-08-09 12:54:00,2022-08-12 14:56:00,3 days 02:02:00,54.62986845499097,7942.957339999999,10019.6151,2551.1617800000004,-20.57042660000001,5.824175824175824,-99.9998482150984,0.0001256753010103512,-99.99999932507548,-795700.0891277909,-0.8246876634698339,-4.617714941985299,-23.757327944129198,0.5471849477655775,-21.655699728425716,-7.634909126434264,2 days 17:07:00,0 days 22:38:00,71.0,56.33802816901409,3.8461538461538547,-1.618341200269724,0.06189066456923076,0 days 01:29:00,0 days 00:29:00,1.3240533355542896,0.06432222970108904
2023-12-07 05:50:00,2023-12-10 00:05:00,2 days 18:15:00,48.229109020475924,7720.5533079999905,10000.0,2552.1697920000006,-22.794466920000094,7.108942231601169,-99.99999862494434,2.4122357520281605e-06,-99.99999999999986,-41455317.350663714,-0.6613730607875479,-4.3870294916703365,-25.982278233664633,0.4484227343266141,-22.7944669200001,-22.7944669200001,2 days 12:33:00,2 days 12:33:00,71.0,56.33802816901409,1.4057820426624401,-2.0851585771859082,0.060601264871951166,0 days 01:30:00,0 days 00:24:00,1.2971592302907857,0.06249326311571615
2021-10-12 15:56:00,2021-10-17 13:34:00,4 days 21:38:00,52.17391304347826,6466.8745720000115,10125.113678,4069.9567479999996,-35.33125427999988,9.950734306169238,-99.99999999974564,2.199776293182733e-10,-99.9999999999992,-454591679661.48615,-0.584316876812947,-2.767756121071403,-39.54632290356664,0.42359372623922914,-36.13035095051491,-6.453517281019749,4 days 13:24:00,0 days 18:35:00,127.0,59.055118110236215,1.6005238535980348,-2.698803464978783,0.059916938739590364,0 days 01:11:00,0 days 00:27:00,1.272434240115302,0.062295807079278086
2022-12-31 16:35:00,2023-01-03 10:50:00,2 days 18:15:00,50.04158580537843,8033.068900000002,10030.140159999999,2141.63454,-19.669310999999983,18.681318681318693,-99.99999966981301,4.073753161159998e-07,-99.99999999997353,-245473880.50712943,-0.667428202764455,-4.795183885409592,-21.212914322999644,0.0826281778782172,-20.85425753412401,-5.313538507359541,2 days 12:18:00,0 days 15:07:00,61.0,54.09836065573771,2.5617566331198605,-1.5246636771300448,0.03018588222862828,0 days 01:20:00,0 days 00:29:00,1.1751988718929647,0.03203171366326795
2023-11-13 12:28:00,2023-11-17 07:17:00,3 days 18:49:00,0.0,10000.0,10000.0,0.0,-1.0512850356793086,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
