Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
2021-01-07 23:38:00,2021-01-10 13:37:00,2 days 13:59:00,45.91005131300936,9207.03348000001,10337.376000000006,1485.45452,-7.929665199999908,12.400085124494579,-99.94679840299766,0.03473808784308967,-99.9991506222917,-2877.153136765982,-1.4350265328083236,-7.575786229578083,-13.702799367734588,0.46557214001141717,-13.192927489529227,-2.5234962433986348,2 days 00:38:00,0 days 06:56:00,42.0,66.66666666666666,1.992512479201336,-3.93998934063049,0.16034802690867433,0 days 02:22:00,0 days 00:36:00,1.4988828005348525,0.16688854100858314
2020-04-02 05:43:00,2020-04-05 10:07:00,3 days 04:24:00,51.86781609195402,8361.727840000003,10117.262320000002,2013.35216,-16.382721599999968,3.8416763678696166,-99.99991096436332,6.113298150532073e-05,-99.9999998768351,-1635776.7689714234,-0.9428683935481585,-5.683438924212169,-18.102612956682844,0.44769293193654236,-17.594965354224367,-4.7486604452999845,2 days 16:35:00,0 days 17:34:00,56.0,66.07142857142857,1.6248675379724409,-1.9466226441050893,0.07796568571545315,0 days 02:24:00,0 days 00:39:00,1.4278142647795664,0.07984069624602538
2020-12-05 14:30:00,2020-12-09 07:53:00,3 days 17:23:00,0.0,10000.0,10000.0,0.0,-6.426876027022091,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2024-05-20 04:06:00,2024-05-23 14:44:00,3 days 10:38:00,0.0,10000.0,10000.0,0.0,1.2757362812925415,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-06-15 06:59:00,2022-06-18 13:05:00,3 days 06:06:00,54.55407969639469,7343.241379999995,10352.654719999999,2056.1930200000006,-26.567586200000047,-11.499977764930845,-99.9999995567772,5.005293454818491e-07,-99.99999999588414,-199788484.84999272,-0.5998292190353756,-3.3413847719753225,-21.86030988986628,0.40932916622574667,-29.92771152711644,-6.602090620310161,2 days 23:14:00,0 days 14:26:00,63.0,52.38095238095239,2.03936469062882,-3.59637021105218,-0.12494962277328492,0 days 02:23:00,0 days 00:36:00,0.7762297633772508,-0.11730698655259614
2023-04-15 23:52:00,2023-04-20 18:35:00,4 days 18:43:00,42.76451051715958,7002.218500000004,10000.0,2443.3515,-29.977814999999964,-8.203424726083863,-99.99999996152583,2.048131059769129e-08,-99.99999999984799,-4882500047.277156,-0.7270803713063538,-3.335800156266424,-26.657531330794967,0.40474360161405765,-29.977814999999964,-29.977814999999964,4 days 13:16:00,4 days 13:16:00,84.0,57.14285714285714,0.7110226193123292,-3.333673504099055,-0.09815424806212114,0 days 01:46:00,0 days 00:32:00,0.483527158853357,-0.0967736562769546
2022-08-09 12:54:00,2022-08-12 14:56:00,3 days 02:02:00,49.26489553778695,8553.794159999998,10000.0,1927.2205600000002,-14.462058400000025,5.207574654042242,-99.98475591862717,0.004338525401402715,-99.99971301901479,-23045.79244512444,-1.328555090708593,-6.463782836861553,-16.49448614443954,0.39028297805810597,-15.46845840000004,-15.46845840000004,2 days 20:01:00,2 days 20:01:00,52.0,61.53846153846154,1.274982770503108,-1.650387335803305,0.08300925070157117,0 days 01:46:00,0 days 00:36:00,1.3936465033132521,0.08496369290763947
2023-12-07 05:50:00,2023-12-10 00:05:00,2 days 18:15:00,44.35528500276702,8291.562482000008,10027.20477,1869.9137980000005,-17.084375179999917,7.64846235418877,-99.99996351086071,4.007966349221167e-05,-99.99999999825586,-2495030.01766202,-0.8236970306342104,-5.777227934860813,-20.600739866217104,0.4597479236191062,-17.3093332370432,-4.928944458099066,2 days 06:38:00,0 days 14:57:00,50.0,60.0,2.258852258852273,-1.3431516936671661,0.06488570904685798,0 days 01:45:00,0 days 00:31:00,1.297031098122033,0.06698949658006104
2021-10-12 15:56:00,2021-10-17 13:34:00,4 days 21:38:00,50.860507246376805,7773.02588800001,10126.84105,3199.7821120000003,-22.269741119999896,9.748253521314723,-99.99998788436241,7.31232738889072e-06,-99.9999992881486,-13675534.828526381,-0.9262558724269653,-4.217299565592484,-26.1495235435389,0.39799769415678365,-23.7118531252151,-4.262108923934873,4 days 15:08:00,0 days 18:40:00,92.0,60.86956521739131,2.3652955357255534,-3.538613595597484,0.12304741050832568,0 days 03:14:00,0 days 00:36:00,1.541069977031775,0.12650138751630455
2022-12-31 16:35:00,2023-01-03 10:50:00,2 days 18:15:00,43.831438868866094,8472.551439999996,10039.97998,1556.9560200000003,-15.274485600000043,19.038076152304612,-99.9999730041471,2.072537565009652e-05,-99.99999996969058,-4825001.712510884,-0.8693503263209609,-6.021883977551263,-16.72710264790945,0.0763006217796626,-16.606094268327475,-5.601831689109627,2 days 08:37:00,0 days 18:54:00,43.0,51.162790697674424,1.921317474839901,-1.3309671694764935,0.0013289231143520652,0 days 01:27:00,0 days 00:36:00,1.0144115020527158,0.0032875617173412546
