Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
2024-06-16 15:37:00,2024-06-20 13:02:00,3 days 21:25:00,0.0,10000.0,10000.0,0.0,-5.173137460650579,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2024-03-12 20:35:00,2024-03-16 22:40:00,4 days 02:05:00,0.0,10000.0,10000.0,0.0,-9.147613968371745,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2025-02-02 15:31:00,2025-02-07 08:17:00,4 days 16:46:00,0.3804692454026633,9973.879840000001,10002.4735,39.70016,-0.26120159999998577,-4.639504147297411,-10.402986421556315,1.662306741292276,-13.087923469874418,-6.258162926939129,-5.610052564801723,-16.386139449420565,-0.25584341053960297,0.0011549056300561883,-0.6348649999999956,-0.4603654455359152,2 days 14:29:00,1 days 07:26:00,1.0,100.0,0.1369193154034276,0.1369193154034276,0.1369193154034276,0 days 00:22:00,0 days 00:22:00,,0.1369193154034276
2024-05-05 09:11:00,2024-05-10 07:40:00,4 days 22:29:00,0.046511627906976744,9980.095544352002,10000.0,39.960183648,-0.19904455647998476,-1.0874983007838983,-8.027634000865957,1.3001359206638217,-9.67029783735811,-6.174457511155617,-5.6809633909927175,-40.33083919917727,-0.198814958527495,0.00021112488389568007,-0.1990445564799881,-0.1990445564799881,3 days 10:34:00,3 days 10:34:00,1.0,100.0,0.20095883497945888,0.20095883497945888,0.20095883497945888,0 days 00:02:00,0 days 00:02:00,,0.20095883497945888
2023-03-24 19:36:00,2023-03-28 17:08:00,3 days 21:32:00,0.0,10000.0,10000.0,0.0,-5.746650089791401,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-12-08 11:02:00,2023-12-12 12:38:00,4 days 01:36:00,0.35142522452167124,9925.016715999998,10003.63286,79.701284,-0.7498328400000173,10.699001426533506,-25.32204954146967,2.850912195311552,-49.1119262953755,-8.882086787208976,-6.640679619659526,-32.221433663242095,-0.7558246211061047,0.0005600318073823051,-0.7858759422724515,-0.5399036711362382,3 days 16:52:00,1 days 20:34:00,2.0,50.0,0.047281323877057524,0.0,0.023637868194459344,0 days 00:15:00,0 days 00:08:00,,0.023640661938528762
2025-01-31 21:40:00,2025-02-04 17:59:00,3 days 20:19:00,0.0,10000.0,10000.0,0.0,-15.708006833821697,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-10-12 20:40:00,2023-10-15 10:46:00,2 days 14:06:00,0.0,10000.0,10000.0,0.0,1.7333242752744067,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-12-04 15:34:00,2022-12-08 06:50:00,3 days 15:16:00,0.4013519222644698,9937.713632,10000.0,39.838368,-0.6228636799999913,-6.054974078059293,-27.0141814769711,3.615009976981525,-35.14553900210339,-7.47278199755551,-5.464224459579484,-43.37093708365087,-0.5877659031898471,0.005796519746851417,-0.6228636799999965,-0.6228636799999965,2 days 00:34:00,2 days 00:34:00,1.0,0.0,-0.2251370399373509,-0.2251370399373509,-0.2251370399373509,0 days 00:18:00,0 days 00:18:00,0.0,-0.2251370399373509
2022-10-18 12:25:00,2022-10-22 18:27:00,4 days 06:02:00,0.0,10000.0,10000.0,0.0,-1.2351400003564603,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-06-06 07:16:00,2023-06-09 21:49:00,3 days 14:33:00,0.0,10000.0,10000.0,0.0,2.742251411452927,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-11-18 10:33:00,2022-11-22 11:15:00,4 days 00:42:00,0.0,10000.0,10000.0,0.0,-2.689925008151288,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2025-02-14 18:46:00,2025-02-17 16:18:00,2 days 21:32:00,0.6364139457664637,9972.3737,10002.3937,39.476299999999995,-0.27626299999999904,-2.5702618304107565,-22.30962777190403,2.3696095089176796,-29.42719740278782,-9.414896289006691,-7.3212257044648545,-36.68414931366758,-0.2696253609611972,0.0025824758241618753,-0.6081544260750249,-0.35925871303751356,0 days 11:47:00,0 days 05:55:00,1.0,100.0,0.12014417300760805,0.12014417300760805,0.12014417300760805,0 days 00:22:00,0 days 00:22:00,,0.12014417300760805
2022-02-06 11:25:00,2022-02-09 23:19:00,3 days 11:54:00,0.0,10000.0,10000.0,0.0,13.620592269829737,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2024-10-26 02:48:00,2024-10-31 01:31:00,4 days 22:43:00,0.0,10000.0,10000.0,0.0,16.76592875603999,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
