Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
2025-02-18 06:30:00,2025-02-22 18:02:00,4 days 11:32:00,0.0,10000.0,10000.0,0.0,1.509014375347475,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-09-26 23:57:00,2023-09-30 03:51:00,3 days 03:54:00,0.0,10000.0,10000.0,0.0,2.5870178739416834,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-07-11 19:19:00,2022-07-15 19:15:00,3 days 23:56:00,0.0,10000.0,10000.0,0.0,6.829368334700586,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-10-13 09:19:00,2023-10-16 22:19:00,3 days 13:00:00,0.0,10000.0,10000.0,0.0,2.9804560260586292,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-03-23 10:26:00,2023-03-27 19:22:00,4 days 08:56:00,0.0,10000.0,10000.0,0.0,-4.0473627556512435,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2025-01-10 09:49:00,2025-01-13 02:14:00,2 days 16:25:00,0.0,10000.0,10000.0,0.0,-1.8020622530596417,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-10-02 21:04:00,2023-10-05 13:09:00,2 days 16:05:00,0.0,10000.0,10000.0,0.0,-2.5641025641025683,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-02-23 00:33:00,2023-02-27 19:40:00,4 days 19:07:00,0.0,10000.0,10000.0,0.0,-1.8925454736620724,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-10-17 02:56:00,2022-10-20 02:42:00,2 days 23:46:00,0.30651340996168586,9987.456,10000.0,20.543999999999997,-0.1254399999999987,-0.5863956215793533,-7.603104588647325,1.0626338607128587,-10.037614685468633,-7.154961713291207,-6.613255112317549,-53.30275230403569,-0.1255523487686198,-0.00019159210008849005,-0.14263999999999388,-0.14263999999999388,0 days 19:03:00,0 days 19:03:00,1.0,100.0,0.1558846453624252,0.1558846453624252,0.1558846453624252,0 days 00:11:00,0 days 00:11:00,,0.1558846453624252
2022-01-18 00:58:00,2022-01-21 08:38:00,3 days 07:40:00,0.0,10000.0,10000.0,0.0,-14.758321469730864,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-03-14 01:45:00,2023-03-18 21:46:00,4 days 20:01:00,0.07548309178743962,9983.494,10001.262,31.506,-0.16505999999999402,3.586782950497484,-11.360566417305485,1.398156139397075,-11.726816582168686,-8.125391790794186,-7.205128119463081,-63.946421211094155,-0.1654481833129912,0.00010822603942157555,-0.17765757961345496,-0.16251878980672596,2 days 13:10:00,1 days 06:37:00,1.0,100.0,0.1906214258482697,0.1906214258482697,0.1906214258482697,0 days 00:04:00,0 days 00:04:00,,0.1906214258482697
2023-12-22 03:14:00,2023-12-26 16:47:00,4 days 13:33:00,0.0,10000.0,10000.0,0.0,3.7980025320016915,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-10-10 00:55:00,2023-10-14 13:44:00,4 days 12:49:00,1.5415549597855227,9926.789999999999,10000.0,50.21,-0.7321000000000095,-2.6710921447763627,-30.949749193314602,4.02170774544702,-33.52843363393264,-7.695673368695886,-5.326187517014386,-42.275302818350006,-0.6942443972257797,0.014172331287133228,-0.7321000000000133,-0.7321000000000133,3 days 09:55:00,3 days 09:55:00,2.0,0.0,-0.14315253698106156,-0.2230364823960551,-0.18310250112668625,0 days 01:12:00,0 days 00:45:00,0.0,-0.18309450968855834
2024-09-03 06:08:00,2024-09-07 09:40:00,4 days 03:32:00,0.0,10000.0,10000.0,0.0,-3.235115431348728,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2022-09-14 05:49:00,2022-09-18 18:46:00,4 days 12:57:00,0.0,10000.0,10000.0,0.0,-5.6371308016877695,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2024-12-08 16:58:00,2024-12-12 18:13:00,4 days 01:15:00,0.0,10000.0,10000.0,0.0,-7.158302885690857,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
2023-03-01 12:29:00,2023-03-04 13:04:00,3 days 00:35:00,0.0,10000.0,10000.0,0.0,-7.768781387721635,0.0,0.0,0.0,,,,0.0,0.0,-0.0,,,,0,,,,,,,,,
